Username,Followers,Category
@instagram,424,Social media platform
@cristiano,348,Sports
@therock,271,Entertainment
@kyliejenner,271,Entertainment
@leomessi,269,Sports
@arianagrande,267,Entertainment
@selenagomez,264,Entertainment
@kimkardashian,255,Entertainment
@beyonce,210,Entertainment
@justinbieber,197,Entertainment
@kendalljenner,191,Entertainment
@natgeo,186,Magazine
@khloekardashian,185,Entertainment
@taylorswift,180,Entertainment
@jlo,177,Entertainment
@nike,175,Sports
@neymarjr,161,Sports
@nickiminaj,158,Entertainment
@virat.kohli,156,Sports
@mileycyrus,147,Entertainment
@kourtneykardash,144,Entertainment
@katyperry,136,Entertainment
@kevinhart4real,124,Entertainment
@ddlovato,116,Entertainment
@iamcardib,110,Entertainment
@zendaya,109,Entertainment
@badgalriri,108,Entertainment
@theellenshow,107,Entertainment
@realmadrid,103,Sports
@fcbarcelona,100,Sports
@kingjames,98,Sports
@chrisbrownofficial,93,Entertainment
@champagnepapi,93,Entertainment
@billieeilish,92,Entertainment
@championsleague,80,Sports
@vindiesel,74,Entertainment
@dualipa,72,Entertainment
@shakira,70,Entertainment
@victoriassecret,70,Lingerie brand
@gigihadid,69,Model
@nasa,69,Space agency
@davidbeckham,68,Sports
@priyankachopra,68,Entertainment
@shraddhakapoor,65,Entertainment
@snoopdogg,65,Entertainment
@shawnmendes,63,Entertainment
@nehakakkar,62,Entertainment
@gal_gadot,62,Entertainment
@justintimberlake,61,Entertainment
@lalalalisa_m,60,Entertainment
